DIVA;MessageValue;MessageCode
60200001;OK;1
60200002;OK;1
60200003;OK;1
60200004;OK;1
60200005;OK;1
60200006;OK;1
60200007;OK;1
60200008;OK;1
60200009;OK;1
60200010;OK;1
60200011;OK;1
60200012;OK;1
60200013;Haltepunkt existiert nicht!;312
60200014;OK;1
60200015;OK;1
60200016;OK;1
60200017;OK;1
60200018;OK;1
60200019;OK;1
60200020;Abfragelimit erreicht!;316
60200021;OK;1
60200022;OK;1
60200023;Abfragelimit erreicht!;316
60200024;OK;1
60200025;OK;1
60200026;OK;1
60200027;Abfragelimit erreicht!;316
60200028;OK;1
60200029;Abfragelimit erreicht!;316
60200030;OK;1
60200031;OK;1
60200032;Abfragelimit erreicht!;316
60200033;OK;1
60200034;Abfragelimit erreicht!;316
60200035;Abfragelimit erreicht!;316
60200036;OK;1
60200037;OK;1
60200038;OK;1
60200039;OK;1
60200040;OK;1
60200041;OK;1
60200042;OK;1
60200043;OK;1
60200044;OK;1
60200045;OK;1
60200046;OK;1
60200047;Haltepunkt existiert nicht!;312
60200048;OK;1
60200049;Abfragelimit erreicht!;316
60200050;OK;1
60200051;OK;1
60200052;Abfragelimit erreicht!;316
60200053;OK;1
60200054;OK;1
60200055;OK;1
60200056;OK;1
60200057;OK;1
60200058;Abfragelimit erreicht!;316
60200059;OK;1
60200060;OK;1
60200061;OK;1
60200062;Abfragelimit erreicht!;316
60200063;Abfragelimit erreicht!;316
60200065;Abfragelimit erreicht!;316
60200066;OK;1
60200067;OK;1
60200068;Abfragelimit erreicht!;316
60200069;Abfragelimit erreicht!;316
60200070;OK;1
60200071;Abfragelimit erreicht!;316
60200072;Abfragelimit erreicht!;316
60200073;OK;1
60200074;OK;1
60200075;OK;1
60200076;Abfragelimit erreicht!;316
60200077;OK;1
60200078;OK;1
60200079;OK;1
60200080;OK;1
60200081;OK;1
60200082;OK;1
60200083;OK;1
60200084;OK;1
60200085;OK;1
60200086;OK;1
60200087;OK;1
60200088;OK;1
60200089;OK;1
60200090;OK;1
60200092;OK;1
60200093;OK;1
60200094;OK;1
60200095;OK;1
60200096;OK;1
60200098;OK;1
60200099;OK;1
60200100;OK;1
60200101;OK;1
60200102;OK;1
60200103;Abfragelimit erreicht!;316
60200104;OK;1
60200105;OK;1
60200106;OK;1
60200107;Abfragelimit erreicht!;316
60200108;OK;1
60200109;OK;1
60200110;OK;1
60200111;OK;1
60200112;OK;1
60200113;OK;1
60200114;OK;1
60200115;Abfragelimit erreicht!;316
60200116;OK;1
60200117;OK;1
60200118;OK;1
60200119;OK;1
60200120;OK;1
60200121;OK;1
60200122;OK;1
60200123;OK;1
60200124;Abfragelimit erreicht!;316
60200125;OK;1
60200127;OK;1
60200128;Abfragelimit erreicht!;316
60200129;OK;1
60200130;OK;1
60200131;OK;1
60200132;OK;1
60200133;OK;1
60200134;OK;1
60200135;OK;1
60200136;OK;1
60200137;Abfragelimit erreicht!;316
60200138;OK;1
60200139;OK;1
60200140;OK;1
60200141;OK;1
60200142;Abfragelimit erreicht!;316
60200143;OK;1
60200144;Abfragelimit erreicht!;316
60200145;OK;1
60200146;OK;1
60200147;OK;1
60200148;OK;1
60200149;OK;1
60200150;OK;1
60200152;Haltepunkt existiert nicht!;312
60200153;OK;1
60200155;Abfragelimit erreicht!;316
60200156;OK;1
60200157;OK;1
60200158;OK;1
60200159;OK;1
60200160;OK;1
60200161;OK;1
60200162;OK;1
60200163;OK;1
60200164;OK;1
60200165;Abfragelimit erreicht!;316
60200166;OK;1
60200167;OK;1
60200168;OK;1
60200169;OK;1
60200170;OK;1
60200171;OK;1
60200172;OK;1
60200173;OK;1
60200174;OK;1
60200175;OK;1
60200176;OK;1
60200177;OK;1
60200178;OK;1
60200179;OK;1
60200180;OK;1
60200181;OK;1
60200182;OK;1
60200183;OK;1
60200184;OK;1
60200185;OK;1
60200186;OK;1
60200187;OK;1
60200188;OK;1
60200189;OK;1
60200190;OK;1
60200191;Haltepunkt existiert nicht!;312
60200192;OK;1
60200193;OK;1
60200194;OK;1
60200195;Request failed with status code 504;
60200196;Request failed with status code 504;
60200197;OK;1
60200198;Abfragelimit erreicht!;316
60200199;OK;1
60200200;OK;1
60200201;OK;1
60200202;OK;1
60200203;OK;1
60200204;OK;1
60200206;OK;1
60200207;OK;1
60200208;OK;1
60200209;OK;1
60200210;OK;1
60200211;OK;1
60200212;OK;1
60200213;OK;1
60200214;OK;1
60200215;OK;1
60200216;OK;1
60200217;OK;1
60200218;OK;1
60200219;OK;1
60200220;OK;1
60200221;OK;1
60200222;Abfragelimit erreicht!;316
60200223;OK;1
60200224;OK;1
60200225;OK;1
60200226;OK;1
60200227;OK;1
60200228;Abfragelimit erreicht!;316
60200229;OK;1
60200230;Haltepunkt existiert nicht!;312
60200231;OK;1
60200232;OK;1
